PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Danilo_Gallinari,ATL,33,52,26,26,24.2,10.8,3.4,8.2,41.6,1.6,4.1,38.3,2.3,2.6,90.3,0.6,4.0,4.5,1.3,0.6,0.5,0.2,1.5,19.6,0,0,1.3
Justin_Holiday,SAC,32,59,20,39,28.9,10.7,3.8,9.4,40.1,2.5,6.8,36.6,0.7,0.8,83.7,0.4,2.3,2.7,1.8,1.0,0.8,0.4,2.2,19.2,0,0,-1.5
Max_Strus,MIA,25,52,36,16,23.7,10.7,3.7,8.5,43.6,2.6,6.5,40.4,0.7,0.9,76.6,0.4,2.7,3.1,1.3,0.8,0.4,0.2,1.7,17.5,0,0,2.1
Frank_Jackson,DET,23,44,6,38,22.3,10.7,3.8,9.2,40.9,1.8,5.5,32.0,1.4,1.8,79.5,0.3,1.3,1.6,1.0,0.8,0.5,0.2,1.8,15.4,0,0,-5.1
Clint_Capela,ATL,27,55,28,27,27.9,10.7,4.8,8.0,59.3,0.0,0.0,0.0,1.1,2.4,47.0,3.8,8.3,12.1,1.3,0.6,0.7,1.4,2.2,32.6,26,0,0.9
Terance_Mann,LAC,25,65,33,32,29.0,10.6,4.1,8.5,48.6,1.0,2.6,37.1,1.4,1.8,76.1,1.3,4.1,5.4,2.5,1.0,0.8,0.2,2.2,22.5,5,0,0.5
Frank_Kaminsky,PHX,28,9,8,1,20.1,10.6,4.0,7.3,54.5,0.6,1.7,33.3,2.0,2.2,90.0,1.2,3.3,4.6,1.4,0.6,0.9,0.8,1.6,22.6,0,0,4.3
Dorian_Finney-Smith,DAL,28,63,39,24,33.0,10.5,3.9,8.5,45.4,2.0,5.2,38.4,0.8,1.1,67.6,1.6,3.3,4.9,1.9,1.1,1.2,0.5,2.3,23.1,1,0,2.8
Terence_Davis,SAC,24,30,11,19,17.9,10.4,3.8,8.9,42.3,1.6,5.0,32.9,1.2,1.5,81.8,0.4,2.8,3.1,1.3,1.1,0.8,0.4,2.3,18.6,0,0,2.0
Cam_Reddish,NYK,22,48,19,29,20.8,10.3,3.4,8.4,40.5,1.4,3.8,35.9,2.1,2.3,90.2,0.5,1.6,2.1,1.0,1.2,1.0,0.3,1.2,16.9,0,0,-4.4
Jeff_Green,DEN,35,60,36,24,24.6,10.3,3.7,7.3,50.5,0.7,2.4,31.0,2.2,2.6,84.2,0.5,2.6,3.1,1.3,1.0,0.3,0.4,2.1,17.1,1,0,0.9
Brandon_Clarke,MEM,25,51,34,17,19.3,10.3,4.4,6.8,64.5,0.1,0.4,20.0,1.4,2.1,64.8,2.1,3.4,5.4,1.4,0.5,0.5,1.0,1.8,23.1,2,0,2.0
Al_Horford,BOS,35,56,35,21,28.8,10.3,3.9,8.6,45.2,1.3,4.0,31.9,1.2,1.5,84.1,1.6,6.0,7.6,3.4,1.0,0.6,1.4,1.9,29.4,12,0,4.5
Terrence_Ross,ORL,31,55,12,43,23.7,10.2,3.6,8.9,40.3,1.3,4.1,30.8,1.8,2.1,86.8,0.3,2.2,2.6,1.9,1.3,0.5,0.2,1.1,17.0,0,0,-6.0
